inventory_id,source_tag,event_id,container_type,internal_path,asset_type,extension,file_size_bytes,sha256,has_geometry,geometry_type,crs,feature_count,has_prj,columns_detected,date_term_detected,hazard_term_detected,locality_term_detected,susceptibility_term_detected,classification,inventory_status,notes
FINV_v1uj_0020,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__63d0e1db-c07f-44a1-a8d2-9fd89fa75eb5__070f91ca7b2d__pesagem-de-residuos-2016.csv,tabular,.csv,27603452,f5e63b38e2159cdd5e6b5e8f56905d060fad9d74d5f66938961fb8c597725900,false,,,,,"PES_ID;""LOCDESCARREGO_ID"";""LOCDESCARREGO_DESC"";""EMP_ID"";""EMP_NOME"";""ROTA_ID"";""TPVEICULO_DESC"";""PES_DATAINI"";""PES_HRINI"";""PES_DATAFIM"";""PES_HRFIM"";""PES_PESOFIM"";""PES_PESOUTIL"";""COLETA_ID"";""COLETA_DES"";""ESPECCOLETA_ID"";""ESPECCOLETA_DESC""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0021,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__63e420ef-fd85-4d07-a528-50a5b88c7edf__59aa25e2ed6a__atendimentos-2023.csv,tabular,.csv,13777577,a51417a310b32e1bf8391746ae1d949f18de91b6029bd7ca5a8b838fb13cc029,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0022,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__64cc8ab3-bd69-4629-b145-74552fe31e1c__975a6f9634b3__unidades-de-saude-da-familia-usf.csv,tabular,.csv,53124,47701c96ef09c78e70c307515e3ba140b7ed25b82c80f5e4ef72ec26a7b0e027,false,,,,,"nome_oficial;""rpa"";""distrito_sanitario"";""microregiao"";""cnes"";""cod_nat"";""tipo_servico"";""endereço"";""bairro"";""fone"";""servico"";""especialidade"";""como_usar"";""horario"";""ordem"";""latitude"";""longitude""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0023,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__6b563ce1-e12c-4bc2-bacc-1a75b627c2d8__09071c52f6e9__calcadas-recuperadas-do-recife-2019-emlurb.csv,tabular,.csv,8129,7fab45a4c61af2776055a34216338b348820e78e73126fe79b578d70f815576a,false,,,,,"rpa;""logradouro"";""bairro"";""previsao_inicio"";""previsao_termino"";""inicio_real"";""termino_real"";""area_estimada_m2"";""percentual_concluido"";""status"";""observacao""",true,false,true,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0024,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__6d2e322b-70ce-424c-93fa-073b02ff4b17__4c509f514f87__rotas-operacionais-domingos-e-feriados.csv,tabular,.csv,2995,10bf4278a0cbd074cdacccb6c83eac21d3cef4c8954a6ef3562b7768054378a9,false,,,,,"rota;""tipologia"";""sentido"";""percurso"";""bairros"";""extensao"";""inauguracao""",true,false,false,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0025,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__6d5cf1e6-3249-4d87-bc0d-a57ff5ba43e1__a938a7d720e3__atendimentos-2024.csv,tabular,.csv,13130752,2bd11da20a8c19ad1d6169a217b5741f97df182c874ed6f8ffc17fda4d21d434,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0026,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__71967fab-750b-44a9-8a86-405a99eb576c__df0c843ccfaa__atendimentos-2022.csv,tabular,.csv,14894862,2b6738c5e2f97f691eacc3ec564816c29a61c14f6d56f3c6f3dd3d8c732d222f,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
FINV_v1uj_0027,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__75344435-aca8-4aef-ab2c-9521d6e5ff18__e405b52976bd__areas-de-risco-da-regional-sul.csv,tabular,.csv,44040,ba51d4f20cd6f6da7c84577b682a55d6544261c052eb199caa73b00199207756,false,,,,,"regional;""endereco"";""bairro"";""localidade"";""descricao"";""latitude"";""longitude""",true,false,false,true,CONTEXT_ONLY,INVENTORIED,
FINV_v1uj_0028,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__76cb7e65-1362-4ea7-ac04-453d67e41c64__8991bf1579b1__iluminacao-publica-do-recife-2025.csv,tabular,.csv,25448451,68281c9f2a168155a1b16c26541a73013ca6575998b40dfd8b74530034de9abf,false,,,,,"id_ponto;""sequencia"";""rpa"";""localizaca"";""endereco"";""barrament0"";""latitude"";""longitude"";""bairro"";""medicao"";""tipo_lumin"";""tipo_de_po"";""tipo_lampa"";""qtde"";""potencia"";""perdas"";""total_carg"";""consumo_kw"";""potencia_1"";""perdas_1"";""total_ca_1"";""consumo_1"";""atualizaca"";""bloq_amp""",true,false,true,false,CONTEXTUAL_OFFICIAL_LAYER,INVENTORIED,
FINV_v1uj_0029,ckan,REC_2022_05_24_30,standalone,REC_2022_05_24_30__ckan__7c7bb871-3906-4d82-8993-857c9e6f137b__6c938735eb40__atendimentos-2024.csv,tabular,.csv,13130752,2bd11da20a8c19ad1d6169a217b5741f97df182c874ed6f8ffc17fda4d21d434,false,,,,,"Regional;""Ano"";""Mês"";""Data"";""Ocorrencia"";""Solicitacao"";""Endereco"";""Bairro"";""Localidade"";""Grau_de_Risco"";""Data_da_Acao"";""Tipo_da_Acao"";""Quantidade"";""Altura"";""Largura"";""Area_m""",true,true,false,true,DOCUMENTED_OCCURRENCE_TABLE_NO_GEOMETRY,INVENTORIED,
