qa_id,event_patch_candidate_id,check_group,check_name,expected,observed,status,severity,notes
QA_readiness_consistency_00115,EPC_v1us_00028,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00116,EPC_v1us_00029,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00117,EPC_v1us_00029,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00118,EPC_v1us_00029,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00119,EPC_v1us_00029,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00120,EPC_v1us_00030,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00121,EPC_v1us_00030,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00122,EPC_v1us_00030,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00123,EPC_v1us_00030,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00124,EPC_v1us_00031,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00125,EPC_v1us_00031,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00126,EPC_v1us_00031,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00127,EPC_v1us_00031,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00128,EPC_v1us_00032,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00129,EPC_v1us_00032,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00130,EPC_v1us_00032,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00131,EPC_v1us_00032,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00132,EPC_v1us_00033,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00133,EPC_v1us_00033,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00134,EPC_v1us_00033,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00135,EPC_v1us_00033,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00136,EPC_v1us_00034,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00137,EPC_v1us_00034,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00138,EPC_v1us_00034,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00139,EPC_v1us_00034,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00140,EPC_v1us_00035,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00141,EPC_v1us_00035,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00142,EPC_v1us_00035,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00143,EPC_v1us_00035,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00144,EPC_v1us_00036,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00145,EPC_v1us_00036,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00146,EPC_v1us_00036,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00147,EPC_v1us_00036,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00148,EPC_v1us_00037,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00149,EPC_v1us_00037,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00150,EPC_v1us_00037,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00151,EPC_v1us_00037,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00152,EPC_v1us_00038,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00153,EPC_v1us_00038,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00154,EPC_v1us_00038,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00155,EPC_v1us_00038,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00156,EPC_v1us_00039,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00157,EPC_v1us_00039,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00158,EPC_v1us_00039,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00159,EPC_v1us_00039,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00160,EPC_v1us_00040,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00161,EPC_v1us_00040,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00162,EPC_v1us_00040,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00163,EPC_v1us_00040,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00164,EPC_v1us_00041,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00165,EPC_v1us_00041,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00166,EPC_v1us_00041,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00167,EPC_v1us_00041,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00168,EPC_v1us_00042,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00169,EPC_v1us_00042,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00170,EPC_v1us_00042,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00171,EPC_v1us_00042,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00172,EPC_v1us_00043,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00173,EPC_v1us_00043,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00174,EPC_v1us_00043,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00175,EPC_v1us_00043,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00176,EPC_v1us_00044,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00177,EPC_v1us_00044,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00178,EPC_v1us_00044,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00179,EPC_v1us_00044,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00180,EPC_v1us_00045,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00181,EPC_v1us_00045,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00182,EPC_v1us_00045,readiness_consistency,training_blocked,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00183,EPC_v1us_00045,readiness_consistency,temporal_not_strong_when_unlinkable,not_STRONG,date=BLOCKED|linkage=BLOCKED,PASS,high,
QA_readiness_consistency_00184,EPC_v1us_00046,readiness_consistency,overlay_blocked_when_geometry_absent,BLOCKED,BLOCKED,PASS,critical,
QA_readiness_consistency_00185,EPC_v1us_00046,readiness_consistency,ground_reference_blocked,BLOCKED,BLOCKED,PASS,critical,
