extraction_id,manifest_id,source_id,event_id,url,acquisition_status,local_raw_path,sha256,file_size_bytes,mime_type,content_type_header,acquisition_timestamp,download_duration_ms,http_status,error_detail,can_create_training_label,ground_truth_operational,notes
EXT_v1ud_0010,MAN_v1ud_0010,SGB_CPRM_CARTOGRAFIA,PET_2022_02_15,https://rigeo.sgb.gov.br/,SKIPPED,,,0,,,,0,,Domain approved for metadata only,false,false,
EXT_v1ud_0011,MAN_v1ud_0011,SGB_CPRM_CARTOGRAFIA,PET_2022_02_15,https://geosgb.sgb.gov.br/,SKIPPED,,,0,,,,0,,Domain approved for metadata only,false,false,
EXT_v1ud_0012,MAN_v1ud_0012,SGB_CPRM_CARTOGRAFIA,PET_2022_02_15,https://www.sgb.gov.br/publique/Gestao-Territorial/Setorizacao-de-Riscos-Geologicos-702,SKIPPED,,,0,,,,0,,Domain approved for metadata only,false,false,
EXT_v1ud_0013,MAN_v1ud_0013,COPERNICUS_EMS,PET_2022_02_15,https://emergency.copernicus.eu/mapping/list-of-activations-rapid,SKIPPED,,,0,,,,0,,HTTP 404,false,false,
EXT_v1ud_0014,MAN_v1ud_0014,COPERNICUS_EMS,REC_2022_05_24_30,https://emergency.copernicus.eu/mapping/list-of-activations-rapid,SKIPPED,,,0,,,,0,,HTTP 404,false,false,
EXT_v1ud_0015,MAN_v1ud_0015,INTERNATIONAL_CHARTER,PET_2022_02_15,https://disasterscharter.org/web/guest/activations/-/article/floods-in-brazil-activation-756-,SKIPPED,,,0,,,,0,,HTTP 404,false,false,
EXT_v1ud_0016,MAN_v1ud_0016,MAXAR_OPEN_DATA,PET_2022_02_15,https://www.maxar.com/open-data/brazil-702702702,SKIPPED,,,0,,,,0,,Domain approved for metadata only,false,false,
EXT_v1ud_0017,MAN_v1ud_0017,PLANET_DISASTER_DATA,PET_2022_02_15,https://www.planet.com/disasterdata/,SKIPPED,,,0,,,,0,,Domain approved for metadata only,false,false,
EXT_v1ud_0018,MAN_v1ud_0018,EMDAT,PET_2022_02_15,https://www.emdat.be/,SKIPPED,,,0,,,,0,,Domain approved for metadata only,false,false,
EXT_v1ud_0019,MAN_v1ud_0019,EMDAT,REC_2022_05_24_30,https://www.emdat.be/,SKIPPED,,,0,,,,0,,Domain approved for metadata only,false,false,
