target_id,event_window_id,region,aoi_bbox,pre_window,post_window,sensor,collection,expected_method,requires_external_execution,gee_script_stub_path,stac_query_stub_path,output_expected,review_only
S16AS1_00068,S16AWIN_00068,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-03-30..2017-04-12,2017-04-13..2017-04-20,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00069,S16AWIN_00069,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-04-05..2017-04-18,2017-04-19..2017-04-26,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00070,S16AWIN_00070,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-04-11..2017-04-24,2017-04-25..2017-05-02,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00071,S16AWIN_00071,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-04-22..2017-05-05,2017-05-06..2017-05-13,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00072,S16AWIN_00072,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-04-24..2017-05-07,2017-05-08..2017-05-15,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00073,S16AWIN_00073,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-04-26..2017-05-09,2017-05-10..2017-05-17,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00074,S16AWIN_00074,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-05-03..2017-05-16,2017-05-17..2017-05-24,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00075,S16AWIN_00075,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-05-10..2017-05-23,2017-05-24..2017-05-31,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00076,S16AWIN_00076,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-05-17..2017-05-30,2017-05-31..2017-06-07,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
S16AS1_00077,S16AWIN_00077,recife,-35.14209391;-8.22709969;-34.94446455;-8.01366583,2017-05-24..2017-06-06,2017-06-07..2017-06-14,Sentinel-1,COPERNICUS/S1_GRD,"VV/VH backscatter change; speckle filtering; permanent water, HAND/slope and optional urban masks; MMU; polygonization",true,scripts/suscetibilidade/susc_16a_gee_sentinel1_flood_mapping_stub.js,scripts/suscetibilidade/susc_16a_stac_sentinel1_query_stub.py,candidate_flood_water_polygon_review_only,true
