provenance_trace_id,candidate_patch_id,event_id,object_type,feature_or_delta_name,source_scene_or_item_id,source_artifact_manifest_id,artifact_path,sha256,source_role,sensor_or_dataset,temporal_role,processing_chain,replay_status,review_only,trainable,ground_truth
S17C22_PROV_0041,S17C6_CANARY_REC_00001,REC_2022_05_24_30,post_event_sensor_observation,B03_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,0feaca262642af2ebcc26074f5ccf800f990d2c9254a8345869ae2cb4454c341,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0042,S17C6_CANARY_REC_00001,REC_2022_05_24_30,post_event_sensor_observation,B04_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,0feaca262642af2ebcc26074f5ccf800f990d2c9254a8345869ae2cb4454c341,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0043,S17C6_CANARY_REC_00001,REC_2022_05_24_30,post_event_sensor_observation,B08_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,0feaca262642af2ebcc26074f5ccf800f990d2c9254a8345869ae2cb4454c341,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0044,S17C6_CANARY_REC_00001,REC_2022_05_24_30,post_event_sensor_observation,B11_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0001_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,0feaca262642af2ebcc26074f5ccf800f990d2c9254a8345869ae2cb4454c341,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0045,S17C6_CANARY_REC_00002,REC_2022_05_24_30,post_event_sensor_observation,B03_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,11701b686a96a0bd6e6039534a83dcd19cdadbbce811e036b119719d24ad254d,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0046,S17C6_CANARY_REC_00002,REC_2022_05_24_30,post_event_sensor_observation,B04_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,11701b686a96a0bd6e6039534a83dcd19cdadbbce811e036b119719d24ad254d,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0047,S17C6_CANARY_REC_00002,REC_2022_05_24_30,post_event_sensor_observation,B08_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,11701b686a96a0bd6e6039534a83dcd19cdadbbce811e036b119719d24ad254d,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0048,S17C6_CANARY_REC_00002,REC_2022_05_24_30,post_event_sensor_observation,B11_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0002_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,11701b686a96a0bd6e6039534a83dcd19cdadbbce811e036b119719d24ad254d,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0049,S17C6_CANARY_REC_00003,REC_2022_05_24_30,post_event_sensor_observation,B03_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,6128a73a45cdcc269a944c0fc9df46d83d931c62b1125d587e109c2f40d91213,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
S17C22_PROV_0050,S17C6_CANARY_REC_00003,REC_2022_05_24_30,post_event_sensor_observation,B04_mean,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,S17C21_POSTMANIFEST_0003_A,outputs_public/suscetibilidade/susc_17c21_post_event_light_artifacts,6128a73a45cdcc269a944c0fc9df46d83d931c62b1125d587e109c2f40d91213,materialization_fallback,SENTINEL-2,post_event,17c21_cog_window_read->band_index_stats,true,true,false,false
