outlier_score_id,experiment_id,unified_patch_id,outlier_score,outlier_rank,outlier_reason,review_only
S18B_OUT_00225,EXP05_outlier_distance_to_centroid,S18A_PATCH_0225,2.182455,247,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00226,EXP05_outlier_distance_to_centroid,S18A_PATCH_0226,2.058078,268,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00227,EXP05_outlier_distance_to_centroid,S18A_PATCH_0227,2.75799,182,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00228,EXP05_outlier_distance_to_centroid,S18A_PATCH_0228,2.579419,204,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00229,EXP05_outlier_distance_to_centroid,S18A_PATCH_0229,2.003232,274,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00230,EXP05_outlier_distance_to_centroid,S18A_PATCH_0230,2.653459,194,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00231,EXP05_outlier_distance_to_centroid,S18A_PATCH_0231,3.410119,115,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00232,EXP05_outlier_distance_to_centroid,S18A_PATCH_0232,2.112759,258,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00233,EXP05_outlier_distance_to_centroid,S18A_PATCH_0233,1.651925,311,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00234,EXP05_outlier_distance_to_centroid,S18A_PATCH_0234,1.884433,288,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00235,EXP05_outlier_distance_to_centroid,S18A_PATCH_0235,2.169902,251,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00236,EXP05_outlier_distance_to_centroid,S18A_PATCH_0236,3.738097,96,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00237,EXP05_outlier_distance_to_centroid,S18A_PATCH_0237,1.934012,282,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00238,EXP05_outlier_distance_to_centroid,S18A_PATCH_0238,1.848966,294,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00239,EXP05_outlier_distance_to_centroid,S18A_PATCH_0239,1.669543,309,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00240,EXP05_outlier_distance_to_centroid,S18A_PATCH_0240,2.925246,163,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00241,EXP05_outlier_distance_to_centroid,S18A_PATCH_0241,3.874605,92,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00242,EXP05_outlier_distance_to_centroid,S18A_PATCH_0242,2.149048,254,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00243,EXP05_outlier_distance_to_centroid,S18A_PATCH_0243,2.315117,228,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00244,EXP05_outlier_distance_to_centroid,S18A_PATCH_0244,2.007422,273,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00245,EXP05_outlier_distance_to_centroid,S18A_PATCH_0245,2.19702,244,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00246,EXP05_outlier_distance_to_centroid,S18A_PATCH_0246,3.09334,140,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
