scene_index_stat_id,candidate_patch_id,scene_or_item_id,scene_date,index_name,stat_name,stat_value,cloud_cover,source_artifact_manifest_id,feature_value_real,pre_event_only,review_only,trainable,ground_truth
S17C24_SINDEX_0050,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDVI,min,-0.068771,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0051,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDVI,max,0.534660,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0052,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDWI,mean,-0.102553,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0053,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDWI,min,-0.430245,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0054,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDWI,max,0.041141,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0055,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,MNDWI,mean,0.041536,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0056,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,MNDWI,min,-0.410389,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0057,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,MNDWI,max,0.418176,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0058,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDBI,mean,-0.143172,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0059,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDBI,min,-0.480810,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0060,S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,NDBI,max,0.129781,75.0099,S17C24_MANIFEST_0005_A,true,true,true,false,false
S17C24_SINDEX_0061,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDVI,mean,0.162656,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
S17C24_SINDEX_0062,S17C6_CANARY_REC_00002,S2B_MSIL1C_20220512T124319_N0510_R009_T25MBM_20240619T112653.SAFE,2022-05-12,NDVI,min,-0.254226,79.7725,S17C24_MANIFEST_0006_A,true,true,true,false,false
