deep_source_acquisition_attempt_id,candidate_patch_id,event_id,source_family,attempted_url_or_query,attempt_type,network_enabled,http_status,artifact_acquired,artifact_manifest_id,tls_verification_bypassed,failure_reason,review_only
S17C28_ATT_0043,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530061851/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/governo-de-pernambuco-atualiza-para-56-numero-de-mortos-no-estado,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0044,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530070149/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/governo-de-pernambuco-atualiza-para-56-numero-de-mortos-no-estado,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0045,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530081923/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/governo-de-pernambuco-atualiza-para-56-numero-de-mortos-no-estado,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0046,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220609130341/https://agenciabrasil.ebc.com.br/geral/noticia/2022-05/governo-de-pernambuco-atualiza-para-56-numero-de-mortos-no-estado,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0047,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220528193348/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/presidente-anuncia-que-vai-ao-grande-recife-na-segunda,wayback_known_event_specific_url,true,200,true,S17C28_ART_0005,false,not_applicable,true
S17C28_ATT_0048,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530061851/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/presidente-anuncia-que-vai-ao-grande-recife-na-segunda,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0049,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530070149/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/presidente-anuncia-que-vai-ao-grande-recife-na-segunda,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0050,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530081923/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/presidente-anuncia-que-vai-ao-grande-recife-na-segunda,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0051,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220609130341/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/presidente-anuncia-que-vai-ao-grande-recife-na-segunda,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0052,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220528193348/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/governo-anuncia-envio-de-equipes-para-o-grande-recife-apos-chuvas,wayback_known_event_specific_url,true,200,true,S17C28_ART_0003,false,not_applicable,true
S17C28_ATT_0053,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530061851/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/governo-anuncia-envio-de-equipes-para-o-grande-recife-apos-chuvas,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0054,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530070149/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/governo-anuncia-envio-de-equipes-para-o-grande-recife-apos-chuvas,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
S17C28_ATT_0055,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220530081923/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/governo-anuncia-envio-de-equipes-para-o-grande-recife-apos-chuvas,wayback_known_event_specific_url,true,failed_safe,false,not_available,false,URLError,true
S17C28_ATT_0056,all_candidate_patches,REC_2022_05_24_30,agencia_brasil,https://web.archive.org/web/20220609130341/https://agenciabrasil.ebc.com.br/politica/noticia/2022-05/governo-anuncia-envio-de-equipes-para-o-grande-recife-apos-chuvas,wayback_known_event_specific_url,true,200,false,not_available,false,not_event_specific_or_duplicate,true
