file_path,matched_terms,region_guess,evidence_type_guess,has_date_guess,has_geometry_guess,candidate_status,notes
outputs_public/execution_reports/revp_validacao_label_free_evidencia_estrutural_mv1.md,ANA;Curitiba;inundação,multi,flood,false,false,documentary_context,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/revp_curitiba_v2ca_v2cg_commit_checklist_v2ch.md,Curitiba;protocolo_c,curitiba,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/revp_v2cj_to_v2cm_commit_checklist.md,ANA,unknown,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2at_evidence_registry_event_patch_report.md,ANA;Curitiba;Petropolis;Recife;evento;flood;protocolo_c,multi,flood,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2at_evidence_registry_event_patch_summary.json,protocolo_c,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2au_patch_event_overlay_geometry_report.md,ANA;evento,unknown,unknown,false,true,needs_manual_review,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2av_patch_boundary_geometry_builder_report.md,Recife;protocolo_c,recife,unknown,false,true,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2av_patch_boundary_geometry_builder_summary.json,Recife;protocolo_c,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2aw_artifact_index_supplement.md,CPRM;Recife,recife,unknown,false,true,not_event_evidence,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2aw_geometry_source_intake_report.md,ANA;CPRM;Recife;evento,recife,unknown,false,true,candidate_evidence_source,offline keyword scan; review-only; not ground truth
outputs_public/execution_reports/arquivo_etapas/v2aw_geometry_source_intake_summary.json,Recife,recife,unknown,false,false,not_event_evidence,offline keyword scan; review-only; not ground truth
