candidate_discovery_id,unified_patch_id,source_patch_id,patch_family,priority_rank,candidate_reason,similar_to_canary_count,physical_signal_percentile,hydrology_signal_percentile,urban_signal_percentile,spectral_signal_percentile,rainfall_signal_percentile,data_completeness,recommended_next_action,review_only,ground_truth,training_label
S18B_CAND_0058,S18A_PATCH_0034,curitiba_00537,official_population_patch,58,high_physical_hydrology_signal;high_completeness,0,48.57,92.38,59.05,76.51,18.41,0.8333,review_only_screening,true,false,false
S18B_CAND_0059,S18A_PATCH_0151,petropolis_00689,official_population_patch,59,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,98.73,27.3,98.73,15.87,89.21,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0060,S18A_PATCH_0179,petropolis_01323,official_population_patch,60,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,98.1,34.92,70.48,17.14,95.24,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0061,S18A_PATCH_0031,curitiba_00469,official_population_patch,61,high_physical_hydrology_signal;high_completeness,0,47.62,92.7,58.41,78.73,12.7,0.8333,review_only_screening,true,false,false
S18B_CAND_0062,S18A_PATCH_0168,petropolis_01109,official_population_patch,62,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,100.0,24.76,95.56,9.84,97.14,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0063,S18A_PATCH_0024,curitiba_00416,official_population_patch,63,high_physical_hydrology_signal;high_completeness,0,44.76,88.89,66.67,67.3,41.27,0.8333,review_only_screening,true,false,false
S18B_CAND_0064,S18A_PATCH_0078,curitiba_01007,official_population_patch,64,high_physical_hydrology_signal;high_completeness,0,74.92,72.7,33.97,40.63,44.76,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0065,S18A_PATCH_0090,curitiba_01065,official_population_patch,65,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,59.37,72.06,79.68,40.95,48.89,0.8333,review_only_screening,true,false,false
S18B_CAND_0066,S18A_PATCH_0023,curitiba_00413,official_population_patch,66,high_physical_hydrology_signal;high_completeness,0,58.73,80.63,48.57,78.41,23.49,0.8333,review_only_screening,true,false,false
S18B_CAND_0067,S18A_PATCH_0019,curitiba_00402,official_population_patch,67,high_physical_hydrology_signal;high_completeness,0,45.71,91.43,56.83,74.6,18.1,0.8333,review_only_screening,true,false,false
S18B_CAND_0068,S18A_PATCH_0082,curitiba_01024,official_population_patch,68,high_physical_hydrology_signal;high_completeness,0,75.56,61.27,69.84,24.13,39.68,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0069,S18A_PATCH_0216,recife_00222,official_population_patch,69,high_physical_hydrology_signal;high_completeness,0,61.59,80.0,22.54,63.49,66.35,0.8333,review_only_screening,true,false,false
S18B_CAND_0070,S18A_PATCH_0167,petropolis_00986,official_population_patch,70,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,97.14,26.67,86.67,6.67,100.0,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0071,S18A_PATCH_0304,S17C33_EAC_0004,event_anchored_canary_patch,71,similar_to_canary;high_completeness,4,9.21,0.0,44.13,97.14,71.11,1.0,review_only_screening,true,false,false
S18B_CAND_0072,S18A_PATCH_0010,curitiba_00345,official_population_patch,72,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,53.65,79.05,70.79,36.83,40.95,0.8333,review_only_screening,true,false,false
S18B_CAND_0073,S18A_PATCH_0159,petropolis_00825,official_population_patch,73,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,81.9,39.05,91.11,20.63,84.44,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0074,S18A_PATCH_0228,recife_00268,official_population_patch,74,high_physical_hydrology_signal;high_completeness,0,55.87,77.78,26.35,86.98,67.94,0.8333,review_only_screening,true,false,false
S18B_CAND_0075,S18A_PATCH_0200,petropolis_01495,official_population_patch,75,high_physical_hydrology_signal;high_completeness,0,76.19,69.21,4.44,28.89,97.78,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0076,S18A_PATCH_0032,curitiba_00471,official_population_patch,76,high_physical_hydrology_signal;high_completeness,0,35.87,98.1,58.73,73.33,13.02,0.8333,review_only_screening,true,false,false
S18B_CAND_0077,S18A_PATCH_0092,curitiba_01075,official_population_patch,77,high_physical_hydrology_signal;high_completeness,0,40.63,85.08,61.9,79.05,45.71,0.8333,review_only_screening,true,false,false
S18B_CAND_0078,S18A_PATCH_0014,curitiba_00367,official_population_patch,78,high_physical_hydrology_signal;high_completeness,0,43.49,89.21,55.87,74.92,17.46,0.8333,review_only_screening,true,false,false
S18B_CAND_0079,S18A_PATCH_0086,curitiba_01048,official_population_patch,79,high_completeness,0,66.98,69.84,42.54,56.19,37.78,0.8333,review_only_screening,true,false,false
S18B_CAND_0080,S18A_PATCH_0209,recife_00131,official_population_patch,80,high_physical_hydrology_signal;high_completeness,0,70.48,80.32,14.29,53.65,12.38,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0081,S18A_PATCH_0243,recife_00306,official_population_patch,81,high_physical_hydrology_signal;high_completeness,0,56.51,82.86,12.06,70.79,63.17,0.8333,review_only_screening,true,false,false
S18B_CAND_0082,S18A_PATCH_0108,petropolis_00070,official_population_patch,82,high_physical_hydrology_signal;high_completeness,0,87.94,58.73,6.03,26.67,74.92,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0083,S18A_PATCH_0029,curitiba_00451,official_population_patch,83,high_physical_hydrology_signal;high_completeness,0,49.52,86.03,29.84,85.4,33.97,0.8333,review_only_screening,true,false,false
S18B_CAND_0084,S18A_PATCH_0276,recife_00482,official_population_patch,84,high_physical_hydrology_signal;high_completeness,0,78.1,52.38,45.4,94.29,24.13,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0085,S18A_PATCH_0056,curitiba_00901,official_population_patch,85,high_physical_hydrology_signal;high_completeness,0,84.76,44.44,49.84,72.06,42.86,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0086,S18A_PATCH_0186,petropolis_01349,official_population_patch,86,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,96.19,20.63,98.41,0.0,91.75,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0087,S18A_PATCH_0215,recife_00205,official_population_patch,87,high_physical_hydrology_signal;high_completeness,0,96.51,40.95,21.27,93.02,28.57,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0088,S18A_PATCH_0131,petropolis_00398,official_population_patch,88,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,39.05,78.1,85.4,16.51,96.19,0.8333,review_only_screening,true,false,false
S18B_CAND_0089,S18A_PATCH_0011,curitiba_00350,official_population_patch,89,high_completeness,0,58.1,68.25,52.06,71.75,52.38,0.8333,review_only_screening,true,false,false
S18B_CAND_0090,S18A_PATCH_0178,petropolis_01307,official_population_patch,90,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,80.95,37.14,93.65,2.54,87.62,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0091,S18A_PATCH_0294,recife_00529,official_population_patch,91,high_physical_hydrology_signal;high_completeness,0,84.44,48.57,20.95,93.97,50.79,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0092,S18A_PATCH_0083,curitiba_01030,official_population_patch,92,high_completeness;high_urban_signal,0,68.57,53.65,78.41,36.19,48.57,0.8333,review_only_screening,true,false,false
S18B_CAND_0093,S18A_PATCH_0166,petropolis_00916,official_population_patch,93,high_physical_hydrology_signal;high_completeness,0,99.68,40.32,3.17,25.71,99.68,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0094,S18A_PATCH_0231,recife_00276,official_population_patch,94,high_physical_hydrology_signal;high_completeness,0,29.52,86.98,62.86,91.75,49.21,0.8333,review_only_screening,true,false,false
S18B_CAND_0095,S18A_PATCH_0164,petropolis_00865,official_population_patch,95,high_physical_hydrology_signal;high_completeness,0,46.35,86.35,30.79,13.33,94.29,0.8333,review_only_screening,true,false,false
S18B_CAND_0096,S18A_PATCH_0088,curitiba_01059,official_population_patch,96,high_completeness;high_urban_signal,0,64.44,56.83,91.75,11.11,40.0,0.8333,review_only_screening,true,false,false
S18B_CAND_0097,S18A_PATCH_0094,curitiba_01083,official_population_patch,97,high_physical_hydrology_signal;high_completeness,0,47.3,79.37,47.3,67.62,38.1,0.8333,review_only_screening,true,false,false
S18B_CAND_0098,S18A_PATCH_0227,recife_00267,official_population_patch,98,high_physical_hydrology_signal;high_completeness,0,50.16,73.33,31.11,89.52,67.62,0.8333,review_only_screening,true,false,false
S18B_CAND_0099,S18A_PATCH_0275,recife_00481,official_population_patch,99,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,73.02,44.76,99.37,28.25,23.81,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0100,S18A_PATCH_0100,curitiba_01324,official_population_patch,100,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,74.6,46.98,94.6,1.59,36.51,0.8333,acquire_ground_reference_priority,true,false,false
