local_geometry_id,source_path,region,municipality,source_name,source_type,event_type,event_date,event_period_start,event_period_end,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,evidence_tier,source_confidence,parse_confidence,is_direct_event_geometry,is_flood_footprint,is_risk_area,is_susceptibility_reference,calibration_eligible_candidate,review_only,notes
S16ALOCG_00089,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_46_metadata.json,curitiba,curitiba,layer_46_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00090,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_47_metadata.json,curitiba,curitiba,layer_47_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00091,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_47_Trecho_de_Drenagem.geojson,curitiba,curitiba,layer_47_Trecho_de_Drenagem.geojson,official_drainage_context,context,,,,LineString,,,-49.38928312;-25.64437186;-49.18437431;-25.34658696,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_47_Trecho_de_Drenagem.geojson,EPSG:4326_or_source_unknown,T4_local_drainage_context,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00092,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_48_Massa_Dagua.geojson,curitiba,curitiba,layer_48_Massa_Dagua.geojson,non_event_context,context,,,,Polygon,,,-49.39469041;-25.64591225;-49.18428036;-25.34657672,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_48_Massa_Dagua.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00093,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_48_metadata.json,curitiba,curitiba,layer_48_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00094,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_49_Canal.geojson,curitiba,curitiba,layer_49_Canal.geojson,non_event_context,context,,,,Polygon,,,-49.36176457;-25.60647938;-49.19122272;-25.36674471,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_49_Canal.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00095,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_49_metadata.json,curitiba,curitiba,layer_49_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00096,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_50_metadata.json,curitiba,curitiba,layer_50_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00097,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_50_Área_Úmida.geojson,curitiba,curitiba,layer_50_Área_Úmida.geojson,non_event_context,context,,,,Polygon,,,-49.38696827;-25.64498563;-49.18473043;-25.35031999,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_50_Área_Úmida.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00098,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_51_Banco_de_Areia.geojson,curitiba,curitiba,layer_51_Banco_de_Areia.geojson,non_event_context,context,,,,Polygon,,,-49.35980202;-25.62115919;-49.22184738;-25.41393124,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_51_Banco_de_Areia.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00099,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_51_metadata.json,curitiba,curitiba,layer_51_metadata.json,non_event_context,context,,,,Feature Layer,,,,,,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
S16ALOCG_00100,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_52_Ilha.geojson,curitiba,curitiba,layer_52_Ilha.geojson,non_event_context,context,,,,Polygon,,,-49.38546043;-25.64084534;-49.19225037;-25.36155520,,PROJECT_ROOT/data/raw/curitiba/geocuritiba/layer_52_Ilha.geojson,EPSG:4326_or_source_unknown,rejected_non_event,medium,low,false,false,false,false,false,true,contexto ou geometria insuficiente
