reference_feature_id,region,source_id,feature_type,name,normalized_name,neighborhood,normalized_neighborhood,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,source_confidence,parse_confidence,review_only
S14AFEAT_000244,recife,S14AREF_0012,address_point,RABILO Nº 345,rabilo,Ibura,ibura,point,-8.132401,-34.954821,-34.954821;-8.132401;-34.954821;-8.132401,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000245,recife,S14AREF_0012,address_point,RABILO Nº 381,rabilo,Ibura,ibura,point,-8.132483,-34.95483,-34.95483;-8.132483;-34.95483;-8.132483,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000246,recife,S14AREF_0012,address_point,RABILO Nº 344,rabilo,Ibura,ibura,point,-8.132482,-34.954912,-34.954912;-8.132482;-34.954912;-8.132482,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000247,recife,S14AREF_0012,address_point,RABILO Nº 402,rabilo,Ibura,ibura,point,-8.132267,-34.954603,-34.954603;-8.132267;-34.954603;-8.132267,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000248,recife,S14AREF_0012,address_point,RABILO Nº 461,rabilo,Ibura,ibura,point,-8.132267,-34.954603,-34.954603;-8.132267;-34.954603;-8.132267,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000249,recife,S14AREF_0012,address_point,RABILO Nº 410,rabilo,Ibura,ibura,point,-8.132106,-34.954266,-34.954266;-8.132106;-34.954266;-8.132106,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000250,recife,S14AREF_0012,address_point,RABILO Nº 408,rabilo,Ibura,ibura,point,-8.132241,-34.954285,-34.954285;-8.132241;-34.954285;-8.132241,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000251,recife,S14AREF_0012,address_point,RABILO Nº 460,rabilo,Ibura,ibura,point,-8.132142,-34.95413,-34.95413;-8.132142;-34.95413;-8.132142,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000252,recife,S14AREF_0012,address_point,RABILO Nº 471,rabilo,Ibura,ibura,point,-8.131826,-34.954129,-34.954129;-8.131826;-34.954129;-8.131826,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000253,recife,S14AREF_0012,address_point,"Rua Césio Regueiro Costa, Nº 25",rua cesio regueiro costa,Jordão,jordao,point,-8.132487,-34.934989,-34.934989;-8.132487;-34.934989;-8.132487,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000254,recife,S14AREF_0012,address_point,"Rua Césio Regueiro Costa, Nº 35",rua cesio regueiro costa,Jordão,jordao,point,-8.132469,-34.934953,-34.934953;-8.132469;-34.934953;-8.132469,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000255,recife,S14AREF_0012,address_point,"Rua Césio Regueiro Costa, Nº 45",rua cesio regueiro costa,Jordão,jordao,point,-8.132433,-34.934925,-34.934925;-8.132433;-34.934925;-8.132433,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000256,recife,S14AREF_0012,address_point,"Rua Césio Regueiro Costa, Nº 36",rua cesio regueiro costa,Jordão,jordao,point,-8.132532,-34.935017,-34.935017;-8.132532;-34.935017;-8.132532,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000257,recife,S14AREF_0012,address_point,"Rua Professor Manoel A. Morais , Nº 05",rua professor manoel a morais,Jordão,jordao,point,-8.132452,-34.934898,-34.934898;-8.132452;-34.934898;-8.132452,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000258,recife,S14AREF_0012,address_point,"Rua Professor Manoel A. Morais , Nº 1112",rua professor manoel a morais,Jordão,jordao,point,-8.132534,-34.934754,-34.934754;-8.132534;-34.934754;-8.132534,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000259,recife,S14AREF_0012,address_point,"Rua Professor Manoel A. Morais , Nº S/N",rua professor manoel a morais s n,Jordão,jordao,point,-8.132597,-34.934672,-34.934672;-8.132597;-34.934672;-8.132597,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000260,recife,S14AREF_0012,address_point,"Rua Consul Joseph Noujain , Nº 64",rua consul joseph noujain,Jordão,jordao,point,-8.132743,-34.934355,-34.934355;-8.132743;-34.934355;-8.132743,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000261,recife,S14AREF_0012,address_point,"Rua Consul Joseph Noujain , Nº 23",rua consul joseph noujain,Jordão,jordao,point,-8.13268,-34.93431,-34.93431;-8.13268;-34.93431;-8.13268,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000262,recife,S14AREF_0012,address_point,"Rua Consul Joseph Noujain , Nº 64",rua consul joseph noujain,Jordão,jordao,point,-8.13268,-34.934391,-34.934391;-8.13268;-34.934391;-8.13268,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000263,recife,S14AREF_0012,address_point,"Rua Maripousa, Nº 10",rua maripousa,Jordão,jordao,point,-8.1323,-34.934408,-34.934408;-8.1323;-34.934408;-8.1323,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000264,recife,S14AREF_0012,address_point,"Rua Maripousa, Nº 10A",rua maripousa,Jordão,jordao,point,-8.132337,-34.934353,-34.934353;-8.132337;-34.934353;-8.132337,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000265,recife,S14AREF_0012,address_point,"Rua Maripousa, Nº 10 -ao lado",rua maripousa ao lado,Jordão,jordao,point,-8.132373,-34.934272,-34.934272;-8.132373;-34.934272;-8.132373,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
S14AFEAT_000266,recife,S14AREF_0012,address_point,"Rua Colônia, Nº 143A",rua colonia,Ibura,ibura,point,-8.108657,-34.942532,-34.942532;-8.108657;-34.942532;-8.108657,,datasets/suscetibilidade/observed_event_sources_susc13c_live/ckan/coordenadas-geograficas-da-regiao-sul.geojson,EPSG:4326,medium,medium,true
