package_id,previous_promotion_decision,previous_blocking_reason,has_patch_overlay_before,has_patch_overlay_after,intersection_ratio,overlay_status,new_promotion_candidate_level,new_promotion_decision,new_allowed_use,remaining_blocking_reason,requires_human_review,can_create_operational_label
PKG_c04eb5500d3f,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_c0e03780403f,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_c2d368c05402,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_c4bf3b78c7b9,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_c50228c506d1,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_c956241e52d2,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_ce4a9355c879,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_d03cbdcb5152,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_d361b12da057,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_d4a3bd08014d,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_d4a93451e47f,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_d5491b590dae,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_d76cda68c54a,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_d7ed5757039e,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_db8b4037a3e0,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_de101553bae8,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_ded70afbee02,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_e32857242362,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_e5f201654b4d,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_e6bd7d5e1dd5,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_e6e8a0fddfef,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_e86a5894dab9,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_e8cef3885f39,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_ed4b51d47c99,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_ef626fc36bc7,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_f046bb1affc9,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_f144e03283dc,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_f2630a5b28a6,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_f45ee9fbe353,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_f55f404d173e,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_f632200df4fe,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_f8472808c6f7,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_f8a8bc395e48,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_fa99addee089,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_fee90b4b6371,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_SECONDARY_EVALUATION_HOLD_FOR_OVERLAY,secondary_evaluation_candidate,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
PKG_ff800f19903f,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,NO_PATCH_EVENT_OVERLAY_GEOMETRY,false,false,0.000,BLOCKED_MISSING_PATCH_GEOMETRY,C3,C3_CANDIDATE_REFERENCE_HOLD_FOR_OVERLAY,candidate_reference,NO_PATCH_BOUNDARY_GEOMETRY_AVAILABLE,false,false
