risk_area_id,source_file,feature_index,geometry_type,crs,area_m2,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,attributes_summary,geometry_hash,allowed_use,blocking_reason,notes
V2BC_RISK_0f025459a9c9,raw/recife_defesa_civil_risk_areas_geojson.geojson,205,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.9558361056755,-8.130326205922,-34.9558361056755,-8.130326205922,Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=BOM DESTINO Nº A. 409; Latitude=-8.130326; Localidade=UR-05; Longitude=-34.955836; Regional=SUL,b283793ce0d55989f9a3d09f5da8fd08afafe57b09b30fc07f16ef63bd0f88e5,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_4978071e6ca7,raw/recife_defesa_civil_risk_areas_geojson.geojson,206,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.955799116424664,-8.130181737470926,-34.955799116424664,-8.130181737470926,Bairro=Ibura; Descrição=Área de Risco Nível 2; Endereço=BOM DESTINO Nº B. 409; Latitude=-8.130182; Localidade=UR-05; Longitude=-34.955799; Regional=SUL,e603245f26368c6e1588768354017863b7707fe7c47fd257fc7d52a8f1ed1504,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_69840a7b6237,raw/recife_defesa_civil_risk_areas_geojson.geojson,207,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95616401449712,-8.130595839754038,-34.95616401449712,-8.130595839754038,Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=BOM DESTINO Nº 50; Latitude=-8.130596; Localidade=UR-05; Longitude=-34.956164; Regional=SUL,e73db08121d991cfeee1603f8af5bb1d8351d7e695fc8166b92ced1217ce1a9d,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_dc9da80f4ff7,raw/recife_defesa_civil_risk_areas_geojson.geojson,208,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95621064573906,-8.130857786937339,-34.95621064573906,-8.130857786937339,Bairro=Ibura; Descrição=Área de Risco Nível 2; Endereço=BOM DESTINO Nº 320; Latitude=-8.130858; Localidade=UR-05; Longitude=-34.956211; Regional=SUL,9972560ca72731a7407f13f821dd446b40ec74be6f4d7e08ba250bb28d05abbd,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_06a94015e380,raw/recife_defesa_civil_risk_areas_geojson.geojson,209,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.95633826832465,-8.130983738176234,-34.95633826832465,-8.130983738176234,Bairro=Ibura; Descrição=Área de Risco Nível 3; Endereço=BOM DESTINO Nº 80; Latitude=-8.130984; Localidade=UR-05; Longitude=-34.956338; Regional=SUL,ec838b6e2634e0ace957a4309e2bc459b26b6db5a324c560c1152491dd144332,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_d8d3570a3c81,raw/recife_defesa_civil_risk_areas_geojson.geojson,210,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.940161163672926,-8.1364042223719,-34.940161163672926,-8.1364042223719,"Bairro=Jordão; Descrição=Área de Risco Nível 3; Endereço=Rua 5ª Travessa Irakitan, Nº 576; Latitude=-8.136404; Localidade=Jordão Alto; Longitude=-34.940161; Regional=SUL",0b00729afc597d10cadb6ef1e16a7da5d8f270e72caec2d6e69908adfaea1a6e,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_897f40a6fea0,raw/recife_defesa_civil_risk_areas_geojson.geojson,211,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.940161163672926,-8.1364042223719,-34.940161163672926,-8.1364042223719,"Bairro=Jordão; Descrição=Área de Risco Nível 3; Endereço=Rua 5ª Travessa Irakitan, Nº 576 Em frente; Latitude=-8.136404; Localidade=Jordão Alto; Longitude=-34.940161; Regional=SUL",0b00729afc597d10cadb6ef1e16a7da5d8f270e72caec2d6e69908adfaea1a6e,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_bc4a375c1d99,raw/recife_defesa_civil_risk_areas_geojson.geojson,212,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.9401527003379,-8.136530829563261,-34.9401527003379,-8.136530829563261,"Bairro=Jordão; Descrição=Área de Risco Nível 3; Endereço=Rua 5ª Travessa Irakitan, Nº 577; Latitude=-8.136531; Localidade=Jordão Alto; Longitude=-34.940153; Regional=SUL",0db90c631954ac2934920d2f95e0050250b467f2b077c7e20410dfabe143def6,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_a25b4382592b,raw/recife_defesa_civil_risk_areas_geojson.geojson,213,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94015283082789,-8.1365579503879,-34.94015283082789,-8.1365579503879,"Bairro=Jordão; Descrição=Área de Risco Nível 3; Endereço=Rua 5ª Travessa Irakitan, Nº S/N; Latitude=-8.136558; Localidade=Jordão Alto; Longitude=-34.940153; Regional=SUL",d9b242f24b56edc3733f108642629d34d707e536bfb588ac0293cefe3f6a8046,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
V2BC_RISK_e8bbbc49abaf,raw/recife_defesa_civil_risk_areas_geojson.geojson,214,Point,EPSG:4326_INFERRED_FROM_LON_LAT_FIELDS,0,-34.94016216409627,-8.136612148693407,-34.94016216409627,-8.136612148693407,"Bairro=Jordão; Descrição=Área de Risco Nível 3; Endereço=Rua 5ª Travessa Irakitan, Nº 583; Latitude=-8.136612; Localidade=Jordão Alto; Longitude=-34.940162; Regional=SUL",babb00309fc2a240692b7d2aae365508c4871960ca0809092f9f9e5bf4681757,context_only,POINT_CONTEXT_NOT_OBSERVED_EVENT_POLYGON,"Source calls these risk areas, but supplied geometry is a point location."
