station_id,station_code,station_name,uf,latitude,longitude,region_candidate,source_file,review_only,notes
V1SI_ST_a101,a101,VELOCIDADE HORARIA (m/s);,UF:;,10361111.000000,1555555.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a109,a109,VELOCIDADE HORARIA (m/s);,UF:;,65027777.000000,8686111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a110,a110,VELOCIDADE HORARIA (m/s);,UF:;,776804.000000,332557.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a111,a111,VELOCIDADE HORARIA (m/s);,UF:;,26055555.000000,7886111.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a112,a112,VELOCIDADE HORARIA (m/s);,UF:;,55252.000000,71343.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a113,a113,VELOCIDADE HORARIA (m/s);,UF:;,205475.000000,888561.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a117,a117,VELOCIDADE HORARIA (m/s);,UF:;,97483.000000,145322.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a119,a119,VELOCIDADE HORARIA (m/s);,UF:;,29472221.000000,62833332.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a120,a120,VELOCIDADE HORARIA (m/s);,UF:;,583333.000000,12944.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a121,a121,VELOCIDADE HORARIA (m/s);,UF:;,13333333.000000,48277777.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a122,a122,VELOCIDADE HORARIA (m/s);,UF:;,39888888.000000,67388888.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a123,a123,VELOCIDADE HORARIA (m/s);,UF:;,639152.000000,756177.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a124,a124,VELOCIDADE HORARIA (m/s);,UF:;,534749.000000,758099.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a125,a125,VELOCIDADE HORARIA (m/s);,UF:;,6336111.000000,60055555.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a126,a126,VELOCIDADE HORARIA (m/s);,UF:;,5666666.000000,2583332.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
V1SI_ST_a128,a128,VELOCIDADE HORARIA (m/s);,UF:;,98722221.000000,92416666.000000,UNKNOWN,data/external_raw/inmet/historical/inmet_2020.zip,true,
