candidate_id,source_id,source_path_or_ref,candidate_type,raw_value,normalized_value,inferred_sensor,inferred_tile,inferred_datetime,inferred_cloud_cover,inferred_asset_id,inferred_patch_id,inferred_region,extraction_method,extraction_confidence,evidence_snippet,notes
MV2_14_CAND_00097,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00098,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00099,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00100,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00101,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,T23KPR,2026-06-18,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=INVALID_FUTURE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00102,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,T23KPR,2026-06-18,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=INVALID_FUTURE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00103,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,csv_structured_row,MEDIUM,collection=;datetime_status=ABSENT,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00104,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,2022-01-18,,,,,csv_structured_row,HIGH,collection=;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00105,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,2022-02-02,,,,,csv_structured_row,HIGH,collection=;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00106,MV2_14_SRC_0030,sentinel_spectral_anchors.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,2022-02-19,,,,,csv_structured_row,HIGH,collection=;datetime_status=VALID_SINGLE,"candidato; namespace pode ser anchor protocolo-C, nao corpus"
MV2_14_CAND_00107,MV2_14_SRC_0031,stac_resolution_plan.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,text_regex,LOW,scene_id_in_text,candidato textual; nunca vira verdade sem fonte estruturada
MV2_14_CAND_00108,MV2_14_SRC_0031,stac_resolution_plan.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,,,,,,text_regex,LOW,scene_id_in_text,candidato textual; nunca vira verdade sem fonte estruturada
MV2_14_CAND_00109,MV2_14_SRC_0032,asset_scene_lineage_sources_discovered.csv,scene_id,20220118T130239_20220118T130322_T23KPR,20220118T130239_20220118T130322_T23KPR,S2_MSI,,,,,,,text_regex,LOW,scene_id_in_text,candidato textual; nunca vira verdade sem fonte estruturada
MV2_14_CAND_00110,MV2_14_SRC_0032,asset_scene_lineage_sources_discovered.csv,scene_id,20220524T130251_20220524T130247_T24MTV,20220524T130251_20220524T130247_T24MTV,S2_MSI,,,,,,,text_regex,LOW,scene_id_in_text,candidato textual; nunca vira verdade sem fonte estruturada
MV2_14_CAND_00111,MV2_14_SRC_0032,asset_scene_lineage_sources_discovered.csv,scene_id,20220202T130251_20220202T130247_T23KPR,20220202T130251_20220202T130247_T23KPR,S2_MSI,,,,,,,text_regex,LOW,scene_id_in_text,candidato textual; nunca vira verdade sem fonte estruturada
